,Accuracy
136,68.42105263157895
137,68.42105263157895
138,67.94258373205741
139,68.42105263157895
140,66.50717703349282
141,74.16267942583733
142,66.98564593301435
143,67.46411483253588
144,67.46411483253588
145,69.85645933014354
146,72.72727272727273
147,71.29186602870813
148,67.94258373205741
149,68.42105263157895
150,68.89952153110048
151,72.72727272727273
152,67.94258373205741
153,70.33492822966507
154,73.20574162679426
155,69.85645933014354
156,68.42105263157895
157,73.20574162679426
158,72.72727272727273
159,68.42105263157895
160,69.85645933014354
161,71.77033492822966
162,67.94258373205741
163,74.16267942583733
164,73.68421052631578
165,68.42105263157895
166,73.20574162679426
167,68.42105263157895
168,68.89952153110048
169,72.24880382775119
170,69.85645933014354
171,70.33492822966507
172,66.98564593301435
173,69.377990430622
174,67.46411483253588
175,66.50717703349282
176,74.16267942583733
177,71.29186602870813
178,72.72727272727273
179,73.68421052631578
180,66.98564593301435
181,72.24880382775119
182,68.42105263157895
183,74.16267942583733
184,71.77033492822966
185,74.64114832535886
186,72.72727272727273
187,71.77033492822966
188,72.24880382775119
189,72.72727272727273
190,73.20574162679426
191,67.94258373205741
192,73.20574162679426
193,69.85645933014354
194,72.72727272727273
195,67.46411483253588
196,71.29186602870813
197,73.68421052631578
198,70.33492822966507
199,69.377990430622
200,73.20574162679426
201,71.77033492822966
202,74.64114832535886
203,68.42105263157895
204,66.98564593301435
205,66.50717703349282
206,70.81339712918661
207,72.72727272727273
208,74.16267942583733
209,72.24880382775119
210,69.377990430622
211,69.85645933014354
212,72.72727272727273
213,69.377990430622
214,71.29186602870813
215,74.16267942583733
216,72.24880382775119
217,72.72727272727273
218,72.24880382775119
219,70.33492822966507
220,71.77033492822966
221,72.72727272727273
222,66.98564593301435
223,66.50717703349282
224,68.89952153110048
225,71.29186602870813
226,72.24880382775119
227,70.81339712918661
228,70.81339712918661
229,67.46411483253588
230,68.42105263157895
231,68.89952153110048
232,73.68421052631578
233,71.77033492822966
234,73.20574162679426
235,68.89952153110048
236,72.24880382775119
237,68.89952153110048
238,71.77033492822966
239,74.16267942583733
240,66.02870813397129
241,67.46411483253588
242,68.89952153110048
243,66.98564593301435
244,72.72727272727273
245,72.72727272727273
246,70.81339712918661
247,72.72727272727273
248,72.72727272727273
249,71.77033492822966
250,69.377990430622
251,71.77033492822966
252,74.16267942583733
